event_type,tier,operational_role,deployment_disposition,runtime_category,ontology_maturity,implementation_maturity,spec_richness,spec_code_fidelity,calibration_maturity,synthetic_coverage,research_evidence_strength,deployment_suitability
FUNDING_PERSISTENCE_TRIGGER,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
FUNDING_TIMESTAMP_EVENT,C,context,context_only,active_runtime_event,3,3,3,3,2,3,2,1
GAP_OVERSHOOT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
INDEX_COMPONENT_DIVERGENCE,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
LEAD_LAG_BREAK,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
LIQUIDATION_CASCADE,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,5,5
LIQUIDATION_CASCADE_PROXY,C,trigger,secondary_or_confirm,active_runtime_event,3,3,3,3,2,3,2,1
LIQUIDATION_EXHAUSTION_REVERSAL,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
LIQUIDITY_GAP_PRINT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
LIQUIDITY_SHOCK,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,4,5
LIQUIDITY_STRESS_DIRECT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
LIQUIDITY_STRESS_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
LIQUIDITY_VACUUM,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,5,5
MOMENTUM_DIVERGENCE_TRIGGER,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
OI_FLUSH,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
OI_SPIKE_NEGATIVE,B,trigger,primary,active_runtime_event,4,4,4,4,3,4,4,3
OI_SPIKE_POSITIVE,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
ORDERFLOW_IMBALANCE_SHOCK,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
OVERSHOOT_AFTER_SHOCK,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
POST_DELEVERAGING_REBOUND,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
PRICE_VOL_IMBALANCE_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
PULLBACK_PIVOT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
RANGE_BREAKOUT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
RANGE_COMPRESSION_END,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
SCHEDULED_NEWS_WINDOW_EVENT,C,context,context_only,active_runtime_event,3,3,3,3,2,3,2,1
SEQ_FND_EXTREME_THEN_BREAKOUT,D,sequence_component,research_only,research_only,2,2,2,2,1,2,1,0
SEQ_LIQ_VACUUM_THEN_DEPTH_RECOVERY,D,sequence_component,research_only,research_only,2,2,2,2,1,2,1,0
SEQ_OI_SPIKEPOS_THEN_VOL_SPIKE,D,sequence_component,research_only,research_only,2,2,2,2,1,2,1,0
SEQ_VOL_COMP_THEN_BREAKOUT,D,sequence_component,research_only,research_only,2,2,2,2,1,2,1,0
SESSION_CLOSE_EVENT,C,context,context_only,active_runtime_event,3,3,3,3,2,3,2,1
SESSION_OPEN_EVENT,C,context,context_only,active_runtime_event,3,3,3,3,2,3,2,1
SLIPPAGE_SPIKE_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
SPOT_PERP_BASIS_SHOCK,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,4,5
SPREAD_BLOWOUT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
SPREAD_REGIME_WIDENING_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
SUPPORT_RESISTANCE_BREAK,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
SWEEP_STOPRUN,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
TREND_ACCELERATION,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
TREND_DECELERATION,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
TREND_EXHAUSTION_TRIGGER,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
TREND_TO_CHOP_SHIFT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
VOL_CLUSTER_SHIFT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
VOL_REGIME_SHIFT_EVENT,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
VOL_RELAXATION_START,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,4,3
VOL_SHOCK,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,4,5
VOL_SPIKE,A,trigger,primary_trigger_candidate,active_runtime_event,5,5,5,5,4,5,5,5
WICK_REVERSAL_PROXY,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
ZSCORE_STRETCH,B,trigger,secondary_or_confirm,active_runtime_event,4,4,4,4,3,4,3,3
